tickers,Name,method,aic,aicc,bic,sigma,closePrice,lowGrowth,meanGrowth,highGrowth,predicted,highGrowthLim,lowGrowthLim
SRCL,Stericycle Inc,"ARIMA(1,1,0)",700.68,700.72,707.77,0.89,41.24,-5.77,-0.05,5.68,41.19,46.92,35.47
SRET,Global X SuperDividend REIT ETF,"ARIMA(0,1,0)",28.66,28.67,32.2,0.06,18.69,-1.58,0,1.58,18.69,20.27,17.11
SRPT,"Sarepta Therapeutics, Inc.","ARIMA(0,1,0)",1553.84,1553.85,1557.38,25.13,67.31,-31.07,0,31.07,67.31,98.38,36.24
SRRK,Scholar Rock Holding Corp,"ARIMA(4,1,0)",282.32,282.56,300.05,0.17,11.76,-3.06,-0.31,2.45,11.45,14.21,8.7
SRTS,"Sensus Healthcare, Inc.","ARIMA(1,1,1)",372.49,372.58,383.12,0.25,2.19,-2.97,0,2.98,2.19,5.17,-0.78
SSB,Southstate Corp,"ARIMA(1,1,0)",946.29,946.33,953.38,2.33,66.1,-8.2,-0.02,8.16,66.08,74.26,57.9
SSBK,"Southern States Bancshares, Inc.","ARIMA(5,1,0)",236.4,236.74,257.67,0.14,23.22,-2.68,0.29,3.26,23.51,26.48,20.54
SSIC,Silver Spike Investment Corp.,"ARIMA(4,1,0)",-64.65,-64.41,-46.92,0.04,9.38,-0.92,-0.02,0.89,9.36,10.27,8.46
SSNC,Ss&C Technologies Holdings Inc,"ARIMA(2,1,0)",647.11,647.21,657.75,0.72,50.25,-5.16,-0.18,4.81,50.07,55.06,45.09
SSNT,"Silversun Technologies, Inc.","ARIMA(0,1,1)",-449.83,-449.78,-442.74,0.01,3.14,-0.67,0,0.67,3.14,3.81,2.47
SSP,E.W. Scripps Co,"ARIMA(0,1,0)",279.8,279.81,283.34,0.17,5.47,-2.58,0,2.58,5.47,8.05,2.89
SSRM,Ssr Mining Inc.,"ARIMA(0,1,1)",167.2,167.24,174.29,0.11,13.88,-2.27,-0.03,2.22,13.85,16.1,11.61
SSSS,Suro Capital Corp.,"ARIMA(1,1,0)",-443.94,-443.89,-436.85,0.01,4.15,-0.58,0,0.58,4.15,4.73,3.57
SSSSL,SuRo Capital Corp. - 6.00% Notes due 2026,"ARIMA(0,1,1)",-193.69,-193.65,-186.6,0.03,23.18,-0.83,0.02,0.86,23.2,24.04,22.35
SSSSL,Suro Capital Corp.,"ARIMA(0,1,1)",-193.69,-193.65,-186.6,0.03,23.18,-0.83,0.02,0.86,23.2,24.04,22.35
SSTI,"Soundthinking, Inc.","ARIMA(1,1,3) with drift",740.15,740.48,761.42,1.03,15.09,-6.13,-0.83,4.47,14.26,19.56,8.96
SSY,Sunlink Health Systems Inc,"ARIMA(0,1,1)",-1000.98,-1000.94,-993.89,0,0.69,-0.18,0,0.18,0.69,0.87,0.51
SSYS,Stratasys Ltd.,"ARIMA(1,1,0)",302.82,302.87,309.91,0.19,10.17,-2.82,-0.01,2.8,10.16,12.97,7.35
STAA,Staar Surgical Co,"ARIMA(0,1,0)",1090.1,1090.11,1093.64,4.11,41.82,-12.56,0,12.56,41.82,54.38,29.26
STBA,S&T Bancorp Inc,"ARIMA(0,1,3)",449.65,449.81,463.83,0.33,25.76,-3.52,-0.01,3.49,25.75,29.25,22.24
STCN,"Steel Connect, Inc.","ARIMA(0,1,0)",264.52,264.53,268.06,0.16,9.7,-2.5,0,2.5,9.7,12.2,7.2
STEP,Stepstone Group Inc.,"ARIMA(1,1,0)",451,451.05,458.1,0.34,28.3,-3.94,-0.05,3.83,28.25,32.13,24.36
STER,Sterling Check Corp.,"ARIMA(0,1,0)",392.43,392.45,395.98,0.27,11.18,-3.22,0,3.22,11.18,14.4,7.96
STGW,Stagwell Inc,"ARIMA(0,1,4)",46.75,46.99,64.48,0.07,4.12,-1.35,0.1,1.54,4.22,5.66,2.77
STIM,"Neuronetics, Inc.","ARIMA(0,1,2)",-205.22,-205.13,-194.59,0.03,1.15,-1.2,0.02,1.24,1.17,2.39,-0.05
STKH,Steakholder Foods Ltd.,"ARIMA(5,1,0)",-488.82,-488.49,-467.55,0.01,0.66,-0.61,0,0.61,0.66,1.27,0.06
STKL,Sunopta Inc.,"ARIMA(0,1,0) with drift",19.4,19.45,26.49,0.06,3.84,-1.79,-0.24,1.31,3.6,5.15,2.05
STKS,"One Group Hospitality, Inc.","ARIMA(4,1,0)",-40.38,-40.14,-22.65,0.05,4.41,-1.36,0,1.37,4.41,5.78,3.05
STLD,Steel Dynamics Inc,"ARIMA(0,1,0)",1220.75,1220.77,1224.3,6.84,106.51,-16.21,0,16.21,106.51,122.72,90.3
STNE,Stoneco Ltd.,"ARIMA(0,1,0)",261.38,261.39,264.92,0.16,9.91,-2.49,0,2.49,9.91,12.4,7.43
STOK,"Stoke Therapeutics, Inc.","ARIMA(0,1,0)",389.47,389.49,393.01,0.27,3.81,-3.2,0,3.2,3.81,7.01,0.61
STRA,"Strategic Education, Inc.","ARIMA(5,1,0)",919.83,920.17,941.1,2.07,82.31,-9.07,0.74,10.54,83.05,92.85,73.24
STRC,Sarcos Technology & Robotics Corp,"ARIMA(4,2,1)",-25.59,-25.25,-4.34,0.05,0.51,-2.26,-0.23,1.79,0.28,2.3,-1.75
STRL,"Sterling Infrastructure, Inc.","ARIMA(0,1,0) with drift",930.17,930.21,937.26,2.19,72.85,-7.31,1.86,11.03,74.71,83.88,65.54
STRM,Streamline Health Solutions Inc.,"ARIMA(1,1,1)",-697.78,-697.68,-687.14,0,0.43,-0.41,0.01,0.44,0.45,0.87,0.02
STRO,"Sutro Biopharma, Inc.","ARIMA(2,1,1)",-66.87,-66.71,-52.69,0.04,2.75,-1.28,0,1.28,2.75,4.03,1.47
STRR,"Star Equity Holdings, Inc.","ARIMA(0,1,0)",-933.57,-933.55,-930.02,0,0.88,-0.24,0,0.24,0.88,1.12,0.64
STRRP,"Star Equity Holdings, Inc.","ARIMA(0,1,5)",77.8,78.14,99.07,0.08,9.29,-0.85,-0.01,0.84,9.28,10.13,8.44
STRS,Stratus Properties Inc,"ARIMA(5,1,0)",540.2,540.53,561.47,0.47,25.67,-4.27,0.02,4.3,25.69,29.97,21.4
STRT,Strattec Security Corp,"ARIMA(5,1,0)",494.06,494.39,515.33,0.39,22.75,-4.13,0.02,4.17,22.77,26.92,18.62
STTK,"Shattuck Labs, Inc.","ARIMA(2,1,2)",-337.3,-337.06,-319.57,0.02,1.62,-0.91,0.02,0.94,1.64,2.56,0.71
STX,Seagate Technology Holdings Plc,"ARIMA(2,1,0)",941.68,941.77,952.31,2.28,68.25,-8.92,0,8.91,68.25,77.16,59.33
STXS,"Stereotaxis, Inc.","ARIMA(3,1,1)",-564.67,-564.43,-546.95,0.01,1.51,-0.49,0,0.48,1.51,1.99,1.02
SUPN,"Supernus Pharmaceuticals, Inc.","ARIMA(0,1,0)",531.41,531.43,534.96,0.46,23.85,-4.22,0,4.22,23.85,28.07,19.63
SURG,"Surgepays, Inc.","ARIMA(3,1,0)",9.61,9.76,23.79,0.06,4.34,-1.43,0,1.43,4.34,5.77,2.91
SUSB,iShares ESG Aware 1-5 Year USD Corporate Bond ETF,"ARIMA(0,1,0)",-758.92,-758.9,-755.38,0,23.7,-0.34,0,0.34,23.7,24.04,23.36
SUSC,iShares ESG Aware USD Corporate Bond ETF,"ARIMA(1,2,3)",-343.85,-343.61,-326.15,0.01,21.27,-0.92,-0.15,0.62,21.12,21.89,20.35
SUSL,iShares ESG MSCI USA Leaders ETF,"ARIMA(2,1,2)",567.69,567.93,585.41,0.52,73.48,-4.7,-0.23,4.25,73.26,77.73,68.79
SVC,Service Properties Trust,"ARIMA(0,1,0)",-41.74,-41.72,-38.19,0.05,7.25,-1.38,0,1.38,7.25,8.63,5.87
SVFD,"Save Foods, Inc.","ARIMA(2,1,2)",476.9,477.14,494.63,0.37,2.26,-3.05,-0.03,2.98,2.23,5.24,-0.79
SVIIU,Spring Valley Acquisition Corp. II - Units,"ARIMA(4,1,1) with drift",-650.82,-650.37,-626,0,10.9,-0.11,0.05,0.21,10.95,11.11,10.79
SVIIU,Spring Valley Acquisition Corp. Ii,"ARIMA(4,1,1) with drift",-650.82,-650.37,-626,0,10.9,-0.11,0.05,0.21,10.95,11.11,10.79
SVM,Silvercorp Metals Inc,"ARIMA(0,1,0)",-504.08,-504.06,-500.53,0.01,2.2,-0.56,0,0.56,2.2,2.76,1.64
SVRA,Savara Inc,"ARIMA(0,1,0) with drift",-447.45,-447.41,-440.36,0.01,3.66,-0.53,0.1,0.72,3.76,4.38,3.13
SVRE,Saverone 2014 Ltd.,"ARIMA(2,1,3)",-632.86,-632.53,-611.59,0,0.4,-0.34,0,0.33,0.4,0.73,0.06
SVT,Servotronics Inc /De/,"ARIMA(5,1,0)",157.56,157.9,178.83,0.11,10.01,-1.42,0.06,1.54,10.07,11.55,8.59
SWAG,"Stran & Company, Inc.","ARIMA(0,1,1)",-890.43,-890.38,-883.34,0,0.96,-0.24,0,0.23,0.96,1.19,0.72
SWAV,"Shockwave Medical, Inc.","ARIMA(1,1,3)",1727.59,1727.83,1745.31,48.72,206.26,-34.05,1,36.05,207.26,242.31,172.21
SWBI,"Smith & Wesson Brands, Inc.","ARIMA(1,1,0)",136.56,136.61,143.65,0.1,14.73,-1.83,-0.05,1.73,14.68,16.46,12.9
SWIM,"Latham Group, Inc.","ARIMA(0,1,0)",-124.36,-124.34,-120.82,0.04,2.29,-1.17,0,1.17,2.29,3.46,1.12
SWKH,Swk Holdings Corp,"ARIMA(0,1,1)",-50.41,-50.36,-43.32,0.05,16.14,-1.11,-0.01,1.09,16.13,17.23,15.03
SWKS,"Skyworks Solutions, Inc.","ARIMA(0,1,1)",1135.12,1135.17,1142.21,4.88,86.74,-12.04,-0.01,12.03,86.73,98.77,74.7
SXTC,"China Sxt Pharmaceuticals, Inc.","ARIMA(2,1,2) with drift",573.83,574.17,595.1,0.53,2.15,-3.11,-0.5,2.12,1.65,4.27,-0.96
SY,So-Young International Inc.,"ARIMA(1,2,3)",-386.78,-386.54,-369.08,0.01,0.92,-0.78,-0.08,0.62,0.84,1.54,0.14
SYBT,"Stock Yards Bancorp, Inc.","ARIMA(5,1,0) with drift",792.66,793.11,817.47,1.25,39.11,-7.09,-1.6,3.9,37.51,43.01,32.02
SYM,Symbotic Inc.,"ARIMA(0,1,4)",1125.23,1125.47,1142.95,4.63,34.03,-11.46,0.75,12.95,34.78,46.98,22.57
SYNA,Synaptics Inc,"ARIMA(2,1,1)",1310.62,1310.78,1324.8,9.59,83.66,-17.5,-0.62,16.26,83.04,99.92,66.16
SYPR,Sypris Solutions Inc,"ARIMA(3,1,1)",-833.73,-833.49,-816,0,1.86,-0.13,0.06,0.25,1.92,2.11,1.73
SYRS,"Syros Pharmaceuticals, Inc.","ARIMA(2,1,3)",-206.27,-205.93,-184.99,0.03,2.49,-1.12,-0.01,1.09,2.48,3.58,1.37
SYTA,Siyata Mobile Inc.,"ARIMA(0,1,1)",792.83,792.87,799.92,1.28,0.65,-6.28,0,6.29,0.65,6.94,-5.63
SZZL,Sizzle Acquisition Corp.,"ARIMA(1,1,0) with drift",-1334.92,-1334.83,-1324.29,0,10.89,-0.06,0.03,0.11,10.92,11,10.83
SZZLU,Sizzle Acquisition Corp.,"ARIMA(0,1,5)",-617.69,-617.35,-596.42,0.01,10.9,-0.37,0,0.36,10.9,11.26,10.53
SZZLU,Sizzle Acquisition Corp. - Unit,"ARIMA(0,1,5)",-617.69,-617.35,-596.42,0.01,10.9,-0.37,0,0.36,10.9,11.26,10.53
TACT,Transact Technologies Inc,"ARIMA(0,1,0)",0.7,0.72,4.25,0.06,5.86,-1.5,0,1.5,5.86,7.36,4.36
TAIT,Taitron Components Inc,"ARIMA(5,1,0)",-694.3,-693.96,-673.03,0,3.4,-0.34,0,0.34,3.4,3.74,3.06
TALK,"Talkspace, Inc.","ARIMA(1,1,0)",-830.17,-830.12,-823.08,0,1.78,-0.32,0,0.33,1.78,2.11,1.46
TANH,Tantech Holdings Ltd,"ARIMA(5,1,0)",4.89,5.23,26.17,0.06,2.72,-1.25,-0.14,0.98,2.58,3.7,1.47
TAOP,Taoping Inc.,"ARIMA(0,1,2)",140.51,140.6,151.14,0.1,1.7,-1.52,0.01,1.53,1.71,3.23,0.18
TARA,"Protara Therapeutics, Inc.","ARIMA(0,1,0)",-331.3,-331.28,-327.75,0.02,1.25,-0.78,0,0.78,1.25,2.03,0.46
TARK,AXS 2X Innovation ETF,"ARIMA(1,1,0)",1365.41,1365.46,1372.5,11.99,43.16,-21.39,-0.01,21.37,43.15,64.53,21.77
TARS,"Tarsus Pharmaceuticals, Inc.","ARIMA(5,1,0)",543.28,543.62,564.55,0.48,14.24,-4.01,-0.03,3.95,14.21,18.19,10.23
TASK,"Taskus, Inc.","ARIMA(2,1,2)",534.74,534.98,552.47,0.46,9.28,-3.89,0,3.89,9.28,13.17,5.39
TAST,"Carrols Restaurant Group, Inc.","ARIMA(0,1,1) with drift",-147.83,-147.74,-137.2,0.03,5.75,-0.84,0.18,1.2,5.93,6.95,4.91
TATT,Tat Technologies Ltd,"ARIMA(0,1,1)",-207.65,-207.6,-200.56,0.03,7.77,-0.82,-0.03,0.76,7.74,8.53,6.95
TAYD,Taylor Devices Inc,"ARIMA(0,1,0)",467.95,467.96,471.49,0.36,22.08,-3.73,0,3.73,22.08,25.8,18.35
TBBK,"Bancorp, Inc.","ARIMA(4,1,0)",709.14,709.38,726.86,0.91,35.65,-5.61,-0.25,5.1,35.4,40.75,30.04
TBIL,US Treasury 3 Month Bill ETF,"ARIMA(2,1,2)",-965.16,-964.92,-947.44,0,50.08,-0.23,-0.13,-0.03,49.95,50.05,49.85
TBIO,Telesis Bio Inc.,"ARIMA(0,1,2)",-433.06,-432.97,-422.43,0.01,0.73,-0.76,0,0.75,0.73,1.48,-0.03
TBLA,Taboola.Com Ltd.,"ARIMA(0,1,0)",-285.45,-285.44,-281.91,0.02,3.67,-0.86,0,0.86,3.67,4.53,2.81
TBLD,Thornburg Income Builder Opportunities Trust,"ARIMA(0,1,0)",-318.21,-318.19,-314.66,0.02,13.99,-0.8,0,0.8,13.99,14.79,13.19
TBNK,Territorial Bancorp Inc.,"ARIMA(0,1,2)",402.87,402.96,413.5,0.28,7.72,-3.36,0.03,3.42,7.75,11.14,4.36
TBPH,"Theravance Biopharma, Inc.","ARIMA(0,1,1)",-57.76,-57.72,-50.67,0.05,9.44,-1.15,-0.03,1.08,9.41,10.52,8.29
TCBC,"Tc Bancshares, Inc.","ARIMA(0,1,1)",10.17,10.22,17.27,0.06,13.3,-1.05,0.01,1.08,13.31,14.38,12.25
TCBI,Texas Capital Bancshares Inc/Tx,"ARIMA(2,1,3)",931.12,931.46,952.39,2.16,55.06,-7.96,0.03,8.01,55.09,63.07,47.1
TCBIO,Texas Capital Bancshares Inc/Tx,"ARIMA(2,1,3)",322.94,323.28,344.21,0.2,16.21,-2.61,0.02,2.65,16.23,18.86,13.6
TCBK,Trico Bancshares /,"ARIMA(5,1,0) with drift",675.22,675.67,700.04,0.79,32.35,-6.87,-0.96,4.95,31.39,37.3,25.48
TCBS,"Texas Community Bancshares, Inc.","ARIMA(2,1,1)",60.16,60.32,74.34,0.07,12.6,-1.28,-0.03,1.23,12.57,13.83,11.32
TCHI,iShares MSCI China Multisector Tech ETF,"ARIMA(3,1,2)",218.9,219.24,240.17,0.13,16.53,-1.99,0.01,2.02,16.54,18.55,14.54
TCMD,Tactile Systems Technology Inc,"ARIMA(0,2,1)",415.21,415.26,422.29,0.29,10.92,-4.99,-1.23,2.53,9.69,13.45,5.93
TCOM,Trip.Com Group Ltd,"ARIMA(3,1,2)",670.59,670.93,691.87,0.78,34,-5.19,0.06,5.31,34.06,39.31,28.81
TCPC,Blackrock Tcp Capital Corp.,"ARIMA(2,1,2)",-165.04,-164.8,-147.31,0.03,10.5,-1.17,-0.01,1.15,10.49,11.65,9.33
TCX,Tucows Inc /Pa/,"ARIMA(2,1,2)",867.95,868.19,885.67,1.69,16.89,-8.32,-0.11,8.11,16.78,25,8.57
TDIV,First Trust NASDAQ Technology Dividend Index Fund,"ARIMA(4,1,0)",493.03,493.27,510.76,0.39,54.78,-3.62,-0.1,3.42,54.68,58.2,51.16
TDSA,Cabana Target Drawdown 5 ETF,"ARIMA(0,1,2)",-350.48,-350.38,-339.84,0.01,20.44,-0.45,0.01,0.47,20.45,20.91,19.99
TDSB,Cabana Target Drawdown 7 ETF,"ARIMA(2,1,2)",-547.78,-547.54,-530.06,0.01,20.75,-0.49,-0.01,0.48,20.74,21.23,20.26
TDSC,Cabana Target Drawdown 10 ETF,"ARIMA(0,1,3)",-381.37,-381.21,-367.19,0.01,21.84,-0.62,0,0.61,21.84,22.45,21.22
TDSD,Cabana Target Drawdown 13 ETF,"ARIMA(1,0,3) with non-zero mean",-301.76,-301.42,-280.47,0.02,21.47,-0.53,0.07,0.67,21.54,22.14,20.94
TDSE,Cabana Target Drawdown 16 ETF,"ARIMA(1,1,4)",-308.93,-308.59,-287.66,0.02,21.71,-0.74,0.01,0.75,21.71,22.45,20.97
TDUP,Thredup Inc.,"ARIMA(0,1,0)",-171.61,-171.6,-168.07,0.03,3.22,-1.07,0,1.07,3.22,4.29,2.15
TEAM,Atlassian Corp,"ARIMA(0,1,0)",1711.66,1711.67,1715.2,46.55,180.64,-42.29,0,42.29,180.64,222.93,138.35
TECH,Bio-Techne Corp,"ARIMA(0,1,2)",968.48,968.58,979.12,2.53,54.63,-9.73,0.29,10.32,54.92,64.95,44.9
TECTP,"Tectonic Financial, Inc.","ARIMA(3,1,1)",-295.46,-295.22,-277.74,0.02,10.09,-0.39,-0.02,0.34,10.07,10.43,9.7
TELA,"Tela Bio, Inc.","ARIMA(0,1,0)",138.7,138.72,142.25,0.1,5.84,-1.96,0,1.96,5.84,7.8,3.88
TELL,Tellurian Inc. /De/,"ARIMA(2,1,2)",-506.14,-505.9,-488.42,0.01,0.69,-0.55,0,0.55,0.69,1.24,0.14
TELZ,Tellurian Inc. /De/,"ARIMA(0,1,0) with drift",314.41,314.46,321.5,0.2,9,-3.18,-0.42,2.33,8.58,11.33,5.82
TENB,"Tenable Holdings, Inc.","ARIMA(3,1,2)",837.86,838.2,859.13,1.5,42.11,-6.34,-0.23,5.88,41.88,47.99,35.77
TENKU,TenX Keane Acquisition - Unit,"ARIMA(1,1,4) with drift",-421.23,-420.78,-396.41,0.01,11.04,-0.21,0.1,0.41,11.14,11.45,10.83
TENKU,Tenx Keane Acquisition,"ARIMA(1,1,4) with drift",-421.23,-420.78,-396.41,0.01,11.04,-0.21,0.1,0.41,11.14,11.45,10.83
TER,"Teradyne, Inc","ARIMA(2,1,1)",1126.42,1126.58,1140.6,4.68,83.27,-12.39,-0.1,12.18,83.17,95.45,70.88
TERN,"Terns Pharmaceuticals, Inc.","ARIMA(0,1,0)",338.25,338.27,341.8,0.22,5.26,-2.89,0,2.89,5.26,8.15,2.37
TFIN,"Triumph Financial, Inc.","ARIMA(1,1,0)",936.76,936.81,943.86,2.25,62.25,-8.67,-0.06,8.55,62.19,70.8,53.58
TFINP,"Triumph Financial, Inc.","ARIMA(0,1,1)",397.32,397.37,404.41,0.27,18.4,-2.07,0.09,2.24,18.49,20.64,16.33
TFSL,Tfs Financial Corp,"ARIMA(4,1,0)",-89.36,-89.12,-71.64,0.04,11.86,-1.29,0.1,1.49,11.96,13.35,10.57
TGAA,Target Global Acquisition I Corp.,"ARIMA(0,1,3) with drift",-1158.44,-1158.2,-1140.71,0,10.93,-0.05,0.04,0.13,10.97,11.06,10.88
TGAAU,Target Global Acquisition I Corp.,"ARIMA(0,1,1) with drift",-621.39,-621.3,-610.76,0.01,10.93,-0.15,0.03,0.22,10.96,11.15,10.78
TGAAU,Target Global Acquisition I Corp. - Unit,"ARIMA(0,1,1) with drift",-621.39,-621.3,-610.76,0.01,10.93,-0.15,0.03,0.22,10.96,11.15,10.78
TGAN,"Transphorm, Inc.","ARIMA(2,1,0) with drift",-145.75,-145.59,-131.57,0.03,2.61,-1.18,-0.14,0.9,2.47,3.51,1.43
TGB,Taseko Mines Ltd,"ARIMA(1,1,0)",-786.31,-786.26,-779.22,0,1.08,-0.29,0,0.29,1.08,1.37,0.79
TH,Target Hospitality Corp.,"ARIMA(1,0,0) with non-zero mean",336.23,336.32,346.88,0.21,13.73,-2.19,0.19,2.56,13.92,16.29,11.54
THCH,Th International Ltd,"ARIMA(0,1,0)",-66.44,-66.42,-62.89,0.04,1.6,-1.31,0,1.31,1.6,2.91,0.29
THCP,"Thunder Bridge Capital Partners Iv, Inc.","ARIMA(0,1,4) with drift",-1242.15,-1241.81,-1220.88,0,10.22,-0.07,0.02,0.11,10.24,10.33,10.15
THCPU,"Thunder Bridge Capital Partners IV, Inc. - Unit","ARIMA(0,1,1)",-594.89,-594.85,-587.8,0.01,10.26,-0.32,-0.01,0.3,10.25,10.56,9.94
THCPU,"Thunder Bridge Capital Partners Iv, Inc.","ARIMA(0,1,1)",-594.89,-594.85,-587.8,0.01,10.26,-0.32,-0.01,0.3,10.25,10.56,9.94
THFF,First Financial Corp /In/,"ARIMA(2,1,0) with drift",470.88,471.04,485.06,0.36,34.41,-3.98,-0.59,2.8,33.82,37.21,30.43
THM,International Tower Hill Mines Ltd,"ARIMA(2,1,3)",-1217.91,-1217.58,-1196.64,0,0.39,-0.11,0.01,0.12,0.39,0.51,0.27
THMO,"Thermogenesis Holdings, Inc.","ARIMA(3,1,1) with drift",315.5,315.83,336.77,0.19,1.05,-2.24,-0.46,1.33,0.6,2.38,-1.19
THRD,"Third Harmonic Bio, Inc.","ARIMA(4,1,0)",766.57,766.81,784.29,1.14,6.4,-6.77,0,6.77,6.4,13.17,-0.37
THRM,Gentherm Inc,"ARIMA(0,1,0)",946.75,946.77,950.3,2.35,40.22,-9.49,0,9.49,40.22,49.71,30.73
THRY,"Thryv Holdings, Inc.","ARIMA(0,1,0)",324.31,324.33,327.86,0.21,17.43,-2.81,0,2.81,17.43,20.24,14.62
TIGO,Millicom International Cellular Sa,"ARIMA(0,1,0)",320.33,320.34,323.87,0.2,15.71,-2.79,0,2.79,15.71,18.5,12.92
TIGR,Up Fintech Holding Ltd,"ARIMA(0,1,4)",-125.09,-124.85,-107.37,0.04,4.56,-1.25,0.02,1.29,4.58,5.85,3.31
TILE,Interface Inc,"ARIMA(0,1,0)",46.76,46.78,50.31,0.07,8.89,-1.64,0,1.64,8.89,10.53,7.25
TIO,"Tingo Group, Inc.","ARIMA(1,1,2)",-165.17,-165.01,-150.99,0.03,0.78,-1.42,0.01,1.44,0.79,2.22,-0.64
TIPT,Tiptree Inc.,"ARIMA(0,1,0)",38.5,38.52,42.05,0.07,15.11,-1.61,0,1.61,15.11,16.72,13.5
TITN,Titan Machinery Inc.,"ARIMA(0,1,0)",815.55,815.56,819.09,1.41,24.84,-7.35,0,7.35,24.84,32.19,17.49
TIVC,"Tivic Health Systems, Inc.","ARIMA(2,2,3)",1365.73,1366.07,1386.98,11.84,1.27,-29.8,-1.16,27.47,0.11,28.74,-28.53
TKLF,"Yoshitsu Co., Ltd","ARIMA(0,1,5)",-755.04,-754.7,-733.77,0,1.23,-0.32,-0.04,0.23,1.19,1.46,0.91
TKNO,"Alpha Teknova, Inc.","ARIMA(2,1,2)",-127.21,-126.97,-109.49,0.03,1.99,-1.46,-0.02,1.42,1.97,3.41,0.53
TLF,Tandy Leather Factory Inc,"ARIMA(1,1,0)",-472.16,-472.11,-465.07,0.01,4.2,-0.46,0.01,0.49,4.21,4.69,3.74
TLGYU,TLGY Acquisition Corporation - Unit,"ARIMA(2,1,2)",-700.8,-700.56,-683.07,0,11.08,-0.42,0,0.41,11.08,11.49,10.66
TLGYU,Tlgy Acquisition Corp,"ARIMA(2,1,2)",-700.8,-700.56,-683.07,0,11.08,-0.42,0,0.41,11.08,11.49,10.66
TLIS,Talis Biomedical Corp,"ARIMA(1,1,1)",77.36,77.45,87.99,0.08,4.78,-1.59,0.02,1.63,4.8,6.41,3.19
TLRY,"Tilray Brands, Inc.","ARIMA(5,1,0)",-260.22,-259.89,-238.95,0.02,1.8,-0.77,0.01,0.79,1.81,2.59,1.03
TLS,Telos Corp,"ARIMA(0,1,2)",379.32,379.41,389.95,0.25,2.32,-2.55,0.01,2.56,2.33,4.88,-0.23
TLSI,"Trisalus Life Sciences, Inc.","ARIMA(0,1,5)",52.45,52.78,73.72,0.07,4.3,-2.6,-0.36,1.89,3.94,6.19,1.7
TLT,iShares 20+ Year Treasury Bond ETF,"ARIMA(2,2,3)",821.62,821.96,842.87,1.41,83.58,-8.84,-1.83,5.19,81.75,88.77,74.74
TMBR,"Timber Pharmaceuticals, Inc.","ARIMA(3,1,1)",-131.56,-131.32,-113.84,0.03,2.59,-1.17,-0.03,1.11,2.56,3.7,1.42
TMC,Tmc The Metals Co Inc.,"ARIMA(0,1,0)",-411.81,-411.8,-408.27,0.01,0.82,-0.67,0,0.67,0.82,1.49,0.15
TMCI,"Treace Medical Concepts, Inc.","ARIMA(0,1,3) with drift",571.81,572.05,589.54,0.53,10.03,-4.27,-0.7,2.88,9.33,12.91,5.76
TMP,Tompkins Financial Corp,"ARIMA(0,1,1) with drift",837.91,838,848.54,1.52,50.08,-7.04,-1.2,4.64,48.88,54.72,43.04
TMQ,Trilogy Metals Inc.,"ARIMA(1,1,0)",-1302.12,-1302.07,-1295.03,0,0.46,-0.11,0,0.11,0.46,0.57,0.34
TMUS,"T-Mobile Us, Inc.","ARIMA(4,1,0)",1050.72,1050.96,1068.44,3.47,143.86,-10.47,-0.38,9.72,143.48,153.58,133.39
TNDM,Tandem Diabetes Care Inc,"ARIMA(2,1,3) with drift",952.89,953.34,977.71,2.34,17.3,-12.01,-1.52,8.97,15.78,26.27,5.29
TNYA,"Tenaya Therapeutics, Inc.","ARIMA(1,1,2)",-27.48,-27.32,-13.3,0.05,1.82,-1.62,0.02,1.65,1.84,3.47,0.2
TOI,"Oncology Institute, Inc.","ARIMA(3,2,1)",-506.09,-505.84,-488.38,0.01,1.91,-0.72,0.23,1.18,2.14,3.09,1.19
TOMZ,"Tomi Environmental Solutions, Inc.","ARIMA(0,1,0)",-851.24,-851.23,-847.7,0,0.97,-0.28,0,0.28,0.97,1.25,0.69
TOON,"Kartoon Studios, Inc.","ARIMA(1,1,1)",-48.03,-47.94,-37.4,0.05,0.99,-1.73,-0.03,1.67,0.96,2.66,-0.74
TOP,Top Financial Group Ltd,"ARIMA(0,0,4) with non-zero mean",1668.26,1668.6,1689.56,37.16,4.44,-15.37,2.43,20.24,6.87,24.68,-10.93
TOPS,Top Ships Inc.,"ARIMA(0,1,3) with drift",1150.18,1150.42,1167.9,5.11,6.4,-12.52,-2.16,8.2,4.24,14.6,-6.12
TOUR,Tuniu Corp,"ARIMA(1,1,3)",-425.37,-425.13,-407.65,0.01,0.88,-0.59,-0.01,0.58,0.87,1.46,0.29
TPCS,Techprecision Corp,"ARIMA(0,1,0)",261.86,261.87,265.4,0.16,7.23,-2.49,0,2.49,7.23,9.72,4.74
TPG,Tpg Inc.,"ARIMA(0,1,1)",611.45,611.5,618.54,0.63,27.64,-5.76,-0.02,5.71,27.62,33.35,21.88
TPHS,Trinity Place Holdings Inc.,"ARIMA(3,1,0)",-883.83,-883.67,-869.65,0,0.38,-0.23,0,0.24,0.39,0.62,0.15
TPIC,"Tpi Composites, Inc","ARIMA(0,1,0)",439.15,439.16,442.69,0.32,2.31,-3.52,0,3.52,2.31,5.83,-1.21
TPST,"Tempest Therapeutics, Inc.","ARIMA(1,0,3) with non-zero mean",505.55,505.89,526.85,0.4,4.1,-3.63,-1.49,0.66,2.61,4.76,0.47
