tickers,Name,method,aic,aicc,bic,sigma,closePrice,lowGrowth,meanGrowth,highGrowth,predicted,highGrowthLim,lowGrowthLim
BE,Bloom Energy Corp,"ARIMA(1,1,0)",511.31,511.36,518.4,0.43,10.4,-4.38,0.04,4.46,10.44,14.86,6.02
BEDU,Bright Scholar Education Holdings Ltd,"ARIMA(1,1,0) with drift",-575.3,-575.2,-564.66,0.01,1.09,-0.49,-0.07,0.35,1.02,1.44,0.6
BEKE,Ke Holdings Inc.,"ARIMA(0,1,5)",448.72,449.06,470,0.33,14.71,-3.44,0.08,3.59,14.79,18.3,11.27
BEN,Franklin Resources Inc,"ARIMA(0,1,0)",376.04,376.05,379.58,0.25,22.79,-3.11,0,3.11,22.79,25.9,19.68
BEP,Brookfield Renewable Partners L.P.,"ARIMA(1,1,0)",361.29,361.34,368.38,0.24,20.96,-3.82,-0.19,3.45,20.77,24.41,17.14
BEP,Brookfield Renewable Partners L.P. ,"ARIMA(1,1,0)",361.29,361.34,368.38,0.24,20.96,-3.82,-0.19,3.45,20.77,24.41,17.14
BEPC,Brookfield Renewable Corp,"ARIMA(1,1,0)",456.94,456.99,464.03,0.34,22.76,-3.95,-0.06,3.84,22.7,26.6,18.81
BEPH,Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes,"ARIMA(0,1,0)",120.36,120.37,123.9,0.09,13.67,-1.89,0,1.89,13.67,15.56,11.78
BEPH,Brookfield Renewable Partners L.P.,"ARIMA(0,1,0)",120.36,120.37,123.9,0.09,13.67,-1.89,0,1.89,13.67,15.56,11.78
BEPI,Brookfield BRP Holdings (Canada) Inc. 4.875% Perpetual Subordinated Notes,"ARIMA(1,1,1)",143.24,143.34,153.88,0.1,14.28,-2.09,0,2.08,14.28,16.36,12.19
BEPI,Brookfield Renewable Partners L.P.,"ARIMA(1,1,1)",143.24,143.34,153.88,0.1,14.28,-2.09,0,2.08,14.28,16.36,12.19
BERY,"Berry Global Group, Inc.","ARIMA(0,1,0)",727.38,727.39,730.92,1,55,-6.18,0,6.18,55,61.18,48.82
BEST,Best Inc.,"ARIMA(0,1,0)",-335.09,-335.07,-331.55,0.02,2.27,-0.78,0,0.78,2.27,3.04,1.49
BFAC,Battery Future Acquisition Corp.,"ARIMA(0,1,2) with drift",-1013.28,-1013.12,-999.1,0,10.84,-0.05,0.04,0.12,10.88,10.96,10.79
BFAM,Bright Horizons Family Solutions Inc.,"ARIMA(1,1,0)",1033.26,1033.31,1040.35,3.28,74.06,-11.11,0,11.11,74.06,85.17,62.95
BFEB,Innovator U.S. Equity Buffer ETF - February,"ARIMA(0,1,0)",-39.17,-39.16,-35.63,0.05,32.76,-1.38,0,1.38,32.76,34.15,31.38
BFH,"Bread Financial Holdings, Inc.","ARIMA(0,1,0)",781.5,781.51,785.04,1.23,27.03,-6.87,0,6.87,27.03,33.9,20.16
BFK,BlackRock Municipal Income Trust,"ARIMA(1,2,1)",-630.25,-630.16,-619.63,0,8.7,-0.64,-0.16,0.33,8.54,9.03,8.06
BFK,Blackrock Municipal Income Trust,"ARIMA(1,2,1)",-630.25,-630.16,-619.63,0,8.7,-0.64,-0.16,0.33,8.54,9.03,8.06
BFLY,"Butterfly Network, Inc.","ARIMA(0,1,0) with drift",-284.34,-284.3,-277.25,0.02,0.85,-0.99,-0.14,0.72,0.71,1.57,-0.14
BFS,"Saul Centers, Inc.","ARIMA(1,1,1)",538.11,538.21,548.75,0.47,34.77,-3.36,-0.2,2.95,34.57,37.72,31.41
BFZ,BlackRock California Municipal Income Trust,"ARIMA(0,2,1)",-621.37,-621.32,-614.28,0.01,9.94,-0.71,-0.22,0.28,9.72,10.22,9.23
BFZ,Blackrock California Municipal Income Trust,"ARIMA(0,2,1)",-621.37,-621.32,-614.28,0.01,9.94,-0.71,-0.22,0.28,9.72,10.22,9.23
BG,Bunge Limited Bunge Limited,"ARIMA(2,1,3)",1046.04,1046.37,1067.31,3.39,105.98,-8.22,0.11,8.45,106.09,114.43,97.76
BG,Bungeltd,"ARIMA(2,1,3)",1046.04,1046.37,1067.31,3.39,105.98,-8.22,0.11,8.45,106.09,114.43,97.76
BGB,Blackstone Strategic Credit 2027 Term Fund,"ARIMA(0,1,0)",-571.95,-571.94,-568.41,0.01,10.64,-0.49,0,0.49,10.64,11.13,10.15
BGH,Barings Global Short Duration High Yield Fund,"ARIMA(0,1,2)",-385.22,-385.13,-374.59,0.01,12.1,-0.69,0.01,0.71,12.11,12.81,11.41
BGLD,FT Cboe Vest Gold Strategy Quarterly Buffer ETF,"ARIMA(0,1,0) with drift",-411.4,-411.36,-404.31,0.01,20,-0.56,0.11,0.78,20.11,20.78,19.44
BGR,BlackRock Energy and Resources Trust,"ARIMA(0,1,0)",-198.72,-198.71,-195.18,0.03,12.61,-1.01,0,1.01,12.61,13.62,11.6
BGR,Blackrock Energy & Resources Trust,"ARIMA(0,1,0)",-198.72,-198.71,-195.18,0.03,12.61,-1.01,0,1.01,12.61,13.62,11.6
BGS,"B&G Foods, Inc.","ARIMA(1,1,0)",293.3,293.35,300.39,0.18,8.07,-2.51,0.01,2.53,8.08,10.6,5.56
BGSF,"Bgsf, Inc.","ARIMA(1,1,0)",-4.31,-4.27,2.78,0.06,9.27,-1.7,-0.02,1.67,9.25,10.94,7.57
BGT,BlackRock Floating Rate Income Trust,"ARIMA(0,1,0)",-486.93,-486.91,-483.38,0.01,11.62,-0.58,0,0.58,11.62,12.2,11.04
BGT,Blackrock Floating Rate Income Trust,"ARIMA(0,1,0)",-486.93,-486.91,-483.38,0.01,11.62,-0.58,0,0.58,11.62,12.2,11.04
BGX,Blackstone Long-Short Credit Income Fund,"ARIMA(0,1,5)",-525.48,-525.15,-504.21,0.01,11.19,-0.55,-0.02,0.51,11.17,11.7,10.64
BGY,Blackrock Enhanced International Dividend Trust,"ARIMA(2,2,2)",-784.53,-784.29,-766.83,0,4.78,-0.4,-0.09,0.23,4.69,5.01,4.38
BH,Biglari Holdings Inc.,"ARIMA(0,2,4)",1256.22,1256.46,1273.93,7.79,147.77,-24.64,-6.45,11.73,141.32,159.5,123.13
BHC,Bausch Health Companies Inc.,"ARIMA(0,1,0)",122.31,122.32,125.85,0.09,6.82,-1.9,0,1.9,6.82,8.72,4.92
BHE,Benchmark Electronics Inc,"ARIMA(5,1,0)",336.96,337.3,358.23,0.21,24.21,-2.26,0.12,2.51,24.33,26.72,21.95
BHG,Bright Health Group Inc.,"ARIMA(2,1,3)",1373.05,1373.38,1394.32,12.15,7.26,-20.54,-0.19,20.17,7.07,27.43,-13.28
BHIL,"Benson Hill, Inc.","ARIMA(4,1,0) with drift",-441.89,-441.56,-420.62,0.01,0.15,-0.7,-0.1,0.49,0.05,0.64,-0.54
BHK,Blackrock Core Bond Trust,"ARIMA(1,2,2)",-418.98,-418.82,-404.82,0.01,9.23,-0.89,-0.16,0.57,9.07,9.8,8.34
BHLB,Berkshire Hills Bancorp Inc,"ARIMA(0,1,1)",431.95,432,439.04,0.31,19.61,-3.11,0,3.1,19.61,22.71,16.5
BHP,Bhp Group Ltd,"ARIMA(2,1,2)",800.08,800.32,817.81,1.3,57.06,-7.03,-0.01,7,57.05,64.06,50.03
BHR,Braemar Hotels & Resorts Inc.,"ARIMA(1,1,0)",-364.91,-364.86,-357.82,0.01,2.62,-0.76,0,0.75,2.62,3.37,1.86
BHV,BlackRock Virginia Municipal Bond Trust,"ARIMA(5,1,0)",-507.85,-507.52,-486.58,0.01,8.99,-0.6,0.01,0.62,9,9.61,8.39
BHV,Blackrock Virginia Municipal Bond Trust,"ARIMA(5,1,0)",-507.85,-507.52,-486.58,0.01,8.99,-0.6,0.01,0.62,9,9.61,8.39
BHVN,Biohaven Ltd.,"ARIMA(0,1,0)",668.58,668.6,672.13,0.79,26.51,-5.51,0,5.51,26.51,32.02,21
BIG,Big Lots Inc,"ARIMA(0,1,0)",442.43,442.44,445.97,0.33,4.56,-3.54,0,3.54,4.56,8.1,1.02
BIGZ,Blackrock Innovation & Growth Term Trust,"ARIMA(1,1,0)",-322.15,-322.1,-315.06,0.02,6.32,-0.79,0,0.79,6.32,7.11,5.53
BILL,"Bill Holdings, Inc.","ARIMA(1,1,0)",1508.9,1508.94,1515.99,21,91.29,-27.37,-0.07,27.24,91.22,118.53,63.92
BIO,"Bio-Rad Laboratories, Inc.","ARIMA(0,1,0)",1898.13,1898.14,1901.67,96.44,275.28,-60.86,0,60.86,275.28,336.14,214.42
BIP,Brookfield Infrastructure Partners L.P.,"ARIMA(3,1,2)",466.59,466.93,487.87,0.35,22.64,-4.26,-0.05,4.16,22.59,26.8,18.38
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units,"ARIMA(3,1,2)",466.59,466.93,487.87,0.35,22.64,-4.26,-0.05,4.16,22.59,26.8,18.38
BIPC,Brookfield Infrastructure Corp,"ARIMA(1,2,2)",595.37,595.53,609.54,0.59,25.76,-7.72,-2.72,2.28,23.04,28.04,18.04
BIPC,Brookfield Infrastructure Corporation ,"ARIMA(1,2,2)",595.37,595.53,609.54,0.59,25.76,-7.72,-2.72,2.28,23.04,28.04,18.04
BIPH,Brookfield Infrastructure Corp,"ARIMA(0,1,0)",229.19,229.21,232.74,0.14,15.29,-2.34,0,2.34,15.29,17.63,12.95
BIPH,Brookfield Infrastructure Corporation 5.000% Subordinated Notes due 2081,"ARIMA(0,1,0)",229.19,229.21,232.74,0.14,15.29,-2.34,0,2.34,15.29,17.63,12.95
BIPI,BIP Bermuda Holdings I Limited 5.125% Perpetual Subordinated Notes,"ARIMA(2,1,2)",186.47,186.71,204.2,0.12,15.3,-2.12,0.06,2.24,15.36,17.54,13.18
BIPI,Brookfield Infrastructure Partners L.P.,"ARIMA(2,1,2)",186.47,186.71,204.2,0.12,15.3,-2.12,0.06,2.24,15.36,17.54,13.18
BIT,Blackrock Multi-Sector Income Trust,"ARIMA(0,1,0)",-380.8,-380.79,-377.26,0.01,14.09,-0.71,0,0.71,14.09,14.8,13.38
BJ,"Bj'S Wholesale Club Holdings, Inc.","ARIMA(1,1,1)",785.62,785.71,796.25,1.24,68.12,-6.6,0.05,6.7,68.17,74.82,61.52
BJAN,Innovator U.S. Equity Buffer ETF - January,"ARIMA(3,1,2)",77.37,77.71,98.64,0.08,35.98,-1.73,-0.03,1.68,35.95,37.66,34.25
BJUL,Innovator U.S. Equity Buffer ETF - July,"ARIMA(4,1,0)",12.42,12.66,30.14,0.06,33.92,-1.38,-0.06,1.27,33.86,35.18,32.54
BJUN,Innovator U.S. Equity Buffer ETF - June,"ARIMA(3,1,2)",-61.31,-60.98,-40.04,0.04,32.3,-1.32,-0.02,1.28,32.28,33.58,30.98
BK,Bank Of New York Mellon Corp,"ARIMA(0,1,0)",545.46,545.47,549,0.49,42.5,-4.34,0,4.34,42.5,46.84,38.16
BKD,Brookdale Senior Living Inc.,"ARIMA(0,1,1)",-164.13,-164.08,-157.03,0.03,3.91,-1.19,0.01,1.21,3.92,5.12,2.72
BKE,Buckle Inc,"ARIMA(1,1,0)",572.23,572.28,579.32,0.54,33.77,-4.23,-0.05,4.14,33.72,37.91,29.54
BKH,Black Hills Corp /Sd/,"ARIMA(0,1,0)",680.74,680.76,684.28,0.83,48.35,-5.65,0,5.65,48.35,54,42.7
BKKT,"Bakkt Holdings, Inc.","ARIMA(3,1,0)",-334.95,-334.79,-320.77,0.02,1.01,-0.53,-0.01,0.5,1,1.51,0.48
BKN,BlackRock Investment Quality Municipal Trust Inc. (The),"ARIMA(4,1,0)",-435.8,-435.56,-418.08,0.01,9.72,-0.8,0.05,0.89,9.77,10.61,8.92
BKN,"Blackrock Investment Quality Municipal Trust, Inc.","ARIMA(4,1,0)",-435.8,-435.56,-418.08,0.01,9.72,-0.8,0.05,0.89,9.77,10.61,8.92
BKSY,Blacksky Technology Inc.,"ARIMA(0,1,0)",-606.69,-606.68,-603.15,0.01,1.19,-0.46,0,0.46,1.19,1.65,0.73
BKT,BlackRock Income Trust Inc. (The),"ARIMA(3,2,2)",-496.13,-495.79,-474.88,0.01,10.63,-0.74,-0.25,0.25,10.38,10.88,9.89
BKT,"Blackrock Income Trust, Inc.","ARIMA(3,2,2)",-496.13,-495.79,-474.88,0.01,10.63,-0.74,-0.25,0.25,10.38,10.88,9.89
BKU,"Bankunited, Inc.","ARIMA(1,1,1)",607.14,607.24,617.78,0.62,21.81,-6.09,0.03,6.15,21.84,27.96,15.72
BLCO,Bausch & Lomb Corp,"ARIMA(2,1,0)",178.48,178.57,189.11,0.12,16.14,-2.01,-0.08,1.84,16.06,17.98,14.13
BLD,Topbuild Corp,"ARIMA(0,1,0)",1551.27,1551.28,1554.81,24.88,228.76,-30.91,0,30.91,228.76,259.67,197.85
BLDG,Cambria Global Real Estate ETF,"ARIMA(1,1,0)",37.76,37.81,44.85,0.07,21.98,-1.58,-0.01,1.57,21.97,23.55,20.4
